Transaction ID;Products;Date;Categories;Codes
T71;DJ 76 KRETEK 12 ISI 5 PACK, GG SURYA 12  1 PRES, SAMPOERNA MILD 16 1 PRES, TAJIMAS KING 1 PRES;2023-06-15;ROKOK, ROKOK, ROKOK, ROKOK;101668, 110129, 096004, KING
T72;KING KONG JUMBO 150 G, MAMA LIME 115 ML, TOP KOPI SUSU PLUS GULA 1 RTG;2023-06-15;OBAT NYAMUK KECOA SEMUT, SABUN, MAKANAN;111120, 105132, 200745
T73;BELFOODS CHICKEN NUGGET 170 GR, BODREXIN, CAMP SPIDERMAN 55 ML, CIMORY UHT 125 ML SUSU STRAWBERRY, MARINA COMPACT 12G IVORY, PASEO SMART 50 S TRAVEL PACK, REX LOT 10 GR FREE SPIRIT, TOLAK ANGIN ANAK 10 ML;2023-06-16;MAKANAN, OBAT, MAKANAN, MAKANAN, KOSMETIK, TISSU & KAPAS, KOSMETIK, OBAT;899523, 000705, 971266, 666348, 8041104, 025304, 015024, 151404
T74;KACANG TANAH LOKAL, PETIS RAJAWALI 1 KG, TIGA RODA 8 JAM;2023-06-16;MAKANAN, MAKANAN, OBAT NYAMUK KECOA SEMUT;047902, 119977, 051701
T75;GG SURYA 12  1 PRES, GG SURYA 16 5 PACK, SAMPOERNA AGA 10+2 1 PRES, TAJIMAS KING 1 PRES;2023-06-16;ROKOK, ROKOK, ROKOK, ROKOK;110129, 110167, 000988, KING
T76;MIE SEDAP AYAM BAKAR LIMAU, MIE SEDAP KOREAN CHEESE BULDAK86 GR, MIE SEDAP SOTO MADURA;2023-06-16;MAKANAN, MAKANAN, MAKANAN;203227, 203579, 203401
T77;GIV 76 GR HIJAB ROSE WATER, GULA PUTIH LOKAL, SOKLIN SOFT 280 GR BLUE;2023-06-16;SABUN, MAKANAN, SABUN;621571, 859384, 609494
T78;GG KALENG 50 BTG, GG SURYA 12  1 PRES, MAIZENA HAWAI;2023-06-17;ROKOK, ROKOK, MAKANAN;110501, 110129, 046524
T79;GG SURYA 12 5 PAK, MINYAK SUPER 5 KG, TAJIMAS KING 1 PRES, TELUR RAS A;2023-06-18;ROKOK, MAKANAN, ROKOK, MAKANAN;110129, 986998, KING, 783492
T80;CAMP CONCERTO MIDI COOKIE CREAMY 80, CHO-CHO JOY 20 GR, DEE DEE LOT NYAMUK 50 GR STRAW, KOMIX 7 ML OBH, KONIDIN TABLET;2023-06-18;MAKANAN, MAKANAN, PERLENGKAPAN BAYI, OBAT, OBAT;710360, 954093, 971945, 301200, 100084
T81;AQUA 600 ML, FRENCH FRIES 62 GR, KANTONG TGG, KRIPIK PISANG NABILA, KUACI REBO 70 GR GREEN TEA, ROMA MALKIST COKLAT 90 GR;2023-06-18;MAKANAN, MAKANAN, PLASTIK & MIKA, MAKANAN, MAKANAN, MAKANAN;101053, 223207, 304048, 114414, 509574, 302637
T82;AGAR SATELIT SO WELL 6 GR PUTIH, BAGELEN MAWAR, CHARM BF EXTRA MAXI WING 10P, EKOMIE 3 KG, EKONOMI 500K ANTI NODA VIOLET, KRESEK LOREK JATAYU, LAPIS MAWAR PUTIH, NUTRIJELL 15 GR JAMBU BIJI, PLEMBEN WIJAYA, SEHAT 65 GR MILD BLUE, SEHAT 65 GR RED, SOKLIN 52 GR SOFT PURPLE 6PCS, ZEN 70 GR SANDALWOOD, ZEN 70GR SEA SALT, ZINC SHP ACTIVE FRES ANTI DANDRUFF;2023-06-19;MAKANAN, MAKANAN, PEMBALUT WANITA, MAKANAN, SABUN, PLASTIK & MIKA, MAKANAN, MAKANAN, MAKANAN, SABUN, SABUN, SABUN, SABUN, SABUN, SHAMPO;012124, 045513, 270338, EKO3, 611121, 256662, 046768, 217117, 225517, 622680, 622673, 803700, 531866, 532832, 108799
T83;AMPLOP MERPATI 104 AIR MAIL SILICON, MIRABELLA SPONGE BUNDAR, REXONA MEN 45 ML INVISIBLE DRY;2023-06-19;ALAT TULIS KANTOR, KOSMETIK, KOSMETIK;402400, 990393, 580773
T84;BIHUN JAGUNG PADAMU 380 GR MERAH, DESAKU KETUMBAR BUBUK 20 GR, DESAKU KUNYIT BUBUK 10 GR, GULA PUTIH LOKAL, KUE BASAH, LADAKU MERICA BUBUK 2.5 GR, PATI MATAHARI, SASA 180 GR, TEPUNG BERAS CAP LOMBOK, TEPUNG REMPEYEK LOMBOK, TERIGU SEGITIGA, ULTRA 250 ML SARI KACANG IJO;2023-06-20;MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN;700031, 931107, 931565, 859384, WING 4, 930612, 046758, 943376, 046757, 090274, 845924, 050053
T85;BIHUN JAGUNG PADAMU 380 GR MERAH, MINYAK KITA BOTOL 1LTR, TELUR RAS A;2023-06-20;MAKANAN, MAKANAN, MAKANAN;700031, 220633, 783492
T86;GOOD TIME 4+1 RAINBOW, LEMONILO AYAM BAWANG 70 GR, OREO ORIGINAL ISI 4 38GR, RELAXA PLAY CAR 12GR, ROMA SARI GANDUM 36 GR SANDWICH, TEH KOTAK 200 ML MELATI;2023-06-21;MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN;030974, 130191, 430184, 337824, 308059, 040023
T87;BENG BENG 25 GR EXT CARAMEL, BIO+ LIQUID 137 ML, BUBUK KOPI SATU SATU 6.5 G 1 RTG, NUVO FAMILY 80 GR MERAH;2023-06-21;MAKANAN, SABUN, MAKANAN, SABUN;354124, 306453, 030103, 602556
T88;BEDAK SKIVA 20 GR G55, GIV BW 250 ML DAMASK ROSE & CHERRY, GLADE BATHROOM 75 G FRESH LEMON, MESIS COKLAT KOKI, ZINK SHA SCT CLEAN ACTIVE 12 ML 1 P;2023-06-21;KOSMETIK, SABUN, PENGHARUM RUANG, MAKANAN, SHAMPO;024801, 805995, 108907, 937374, 107471
T89;MIE SUKSES ISI 2 132 GR RENDANG, MIE SUKSES ISI 2 AYAM KREMES, OSKADON SAKIT KEPALA;2023-06-22;MAKANAN, MAKANAN, OBAT;203555, 200882, 039309
T90;MIE SEDAP KOREAN SPICY CHICKEN 10PC, SARIMI GELAS BASO SAPI 30 GR 1 RTG, SEDAP GORENG 10 PCS, TINI WINI BITI WHIZPY GUMMY BG;2023-06-22;MAKANAN, MAKANAN, MAKANAN, MAKANAN;202343, 923117, 200301, 4111114
T91;CLEVO UHT 125 ML COKLAT, KECAP BANGO SCT 20 ML, ME BENNO EYE GLASS, SOUN CAP 2003;2023-06-22;MAKANAN, MAKANAN, MAKANAN, MAKANAN;717004, 533496, EG, 042801
T92;GRENDEL UTAMA 12, HERS PROTEX MAXI 8P, MASKER MEDIS HIJAB & NON HIJAB;2023-06-22;ROKOK, PEMBALUT WANITA, ACCESSORIES;122199, 602273, MASKER
T93;CAMP OLYMPIA CHOCO FUDGE 80ML, GULA PUTIH LOKAL, KUE BASAH;2023-06-23;MAKANAN, MAKANAN, MAKANAN;700057, 859384, WING 4
